SNP	Phenotype	Gene(Tissues)	Gene(Tissue Count)
rs516461	pheno9	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Amygdala,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Whole_Blood)"	MAPK1(38)
rs517035	pheno6	"GPATCH8(Adipose_Subcutaneous,Artery_Tibial,Colon_Transverse,Nerve_Tibial,Pancreas,Small_Intestine_Terminal_Ileum,Stomach),RPUSD2,CASTOR2,GPATCH8(Adipose_Visceral_Omentum),MAPK1(Adrenal_Gland,Brain_Amygdala,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Colon_Sigmoid,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Pituitary,Testis,Whole_Blood),CASTOR2,GPATCH8(Artery_Aorta,Cells_Transformed_fibroblasts),RPUSD2,SLC30A5,CASTOR2,GPATCH8(Esophagus_Gastroesophageal_Junction),RPUSD2,GPATCH8(Esophagus_Mucosa,Esophagus_Muscularis),CASTOR2(Heart_Atrial_Appendage),SLC30A5(Heart_Left_Ventricle,Spleen,Thyroid),RPUSD2,SLC30A5,GPATCH8(Skin_Not_Sun_Exposed_Suprapubic),SLC30A5,GPATCH8(Skin_Sun_Exposed_Lower_leg)"	"GPATCH8(7),RPUSD2,CASTOR2,GPATCH8(1),MAPK1(18),CASTOR2,GPATCH8(2),RPUSD2,SLC30A5,CASTOR2,GPATCH8(1),RPUSD2,GPATCH8(2),CASTOR2(1),SLC30A5(3),RPUSD2,SLC30A5,GPATCH8(1),SLC30A5,GPATCH8(1)"
rs5232	pheno9	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Cortex,Brain_Hippocampus,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Pancreas,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Stomach,Testis,Thyroid,Vagina,Whole_Blood)"	MAPK1(35)
rs526011	pheno1	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Frontal_Cortex_BA9,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Testis,Thyroid,Uterus,Whole_Blood)"	MAPK1(27)
rs547756	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Coronary,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Nerve_Tibial,Ovary,Pancreas,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus),GABRA2(Artery_Aorta,Artery_Tibial)"	"MAPK1(37),GABRA2(2)"
rs556227	pheno4	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Brain_Amygdala,Brain_Cerebellum,Cells_Transformed_fibroblasts,Esophagus_Mucosa,Liver,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Testis,Thyroid),SLC66A2(Muscle_Skeletal)"	"MAPK1(11),SLC66A2(1)"
rs55752	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Thyroid,Whole_Blood),ZNF414(Testis)"	"MAPK1(37),ZNF414(1)"
rs560094	pheno9	"MAPK1(Adipose_Subcutaneous,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Hippocampus,Cells_Transformed_fibroblasts,Lung,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Spleen,Whole_Blood)"	MAPK1(11)
rs563465	pheno7	"TMEM176A(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Breast_Mammary_Tissue,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood),MAPK1(Cells_Transformed_fibroblasts,Heart_Atrial_Appendage)"	"TMEM176A(40),MAPK1(2)"
rs56723	pheno4	"MAPK1(Adipose_Subcutaneous,Artery_Tibial,Brain_Amygdala,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Stomach)"	MAPK1(16)
rs572408	pheno2	"MAPK1(Cells_Transformed_fibroblasts,Colon_Sigmoid,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Muscle_Skeletal,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Thyroid),SS18L2(Nerve_Tibial,Testis)"	"MAPK1(10),SS18L2(2)"
rs586482	pheno10	"MAPK1(Adipose_Subcutaneous,Brain_Putamen_basal_ganglia,Cells_Transformed_fibroblasts,Colon_Sigmoid,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Liver,Lung,Testis,Thyroid)"	MAPK1(11)
rs605602	pheno9	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Atrial_Appendage,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Testis,Thyroid)"	MAPK1(25)
rs619845	pheno4	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Testis,Thyroid,Uterus,Vagina,Whole_Blood),MSANTD5(Stomach)"	"MAPK1(45),MSANTD5(1)"
rs630107	pheno9	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Nucleus_accumbens_basal_ganglia,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Nerve_Tibial,Prostate,Skin_Sun_Exposed_Lower_leg,Testis,Thyroid),VXN(Cells_Transformed_fibroblasts,Heart_Left_Ventricle,Liver,Spleen,Whole_Blood)"	"MAPK1(14),VXN(5)"
rs657350	pheno1	"MAPK1(Adrenal_Gland,Brain_Cerebellar_Hemisphere,Cells_Transformed_fibroblasts,Esophagus_Muscularis,Muscle_Skeletal,Prostate,Skin_Sun_Exposed_Lower_leg)"	MAPK1(7)
rs664792	pheno9	"KRT86(Adipose_Subcutaneous,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Colon_Transverse,Lung),MAPK1(Adipose_Visceral_Omentum,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Left_Ventricle,Muscle_Skeletal,Ovary,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen),PALM3(Adrenal_Gland,Artery_Aorta,Nerve_Tibial,Stomach),ARHGEF1,KRT86(Brain_Putamen_basal_ganglia),TMEM151A,PALM3(Breast_Mammary_Tissue),TMEM151A(Esophagus_Mucosa,Liver,Small_Intestine_Terminal_Ileum,Whole_Blood),KRT86,PALM3(Heart_Atrial_Appendage),TMEM151A,DBNDD2(Pancreas),KRT86,DBNDD2(Testis),TMEM151A,KRT86(Thyroid)"	"KRT86(5),MAPK1(25),PALM3(4),ARHGEF1,KRT86(1),TMEM151A,PALM3(1),TMEM151A(4),KRT86,PALM3(1),TMEM151A,DBNDD2(1),KRT86,DBNDD2(1),TMEM151A,KRT86(1)"
rs665236	pheno2	"MAPK1(Adipose_Subcutaneous,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Minor_Salivary_Gland,Muscle_Skeletal,Ovary,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Stomach,Testis,Vagina,Whole_Blood),C1orf216(Adipose_Visceral_Omentum,Esophagus_Gastroesophageal_Junction),NANOS3(Artery_Tibial,Lung,Nerve_Tibial,Thyroid),PSTPIP2(Liver,Spleen)"	"MAPK1(36),C1orf216(2),NANOS3(4),PSTPIP2(2)"
rs670625	pheno3	"MAPK1(Artery_Aorta,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellum,Lung,Pituitary,Thyroid,Whole_Blood)"	MAPK1(8)
rs681112	pheno4	"HSFX2(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Tibial),MAPK1(Adrenal_Gland,Artery_Aorta,Artery_Coronary,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Cortex,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Testis,Thyroid,Whole_Blood)"	"HSFX2(3),MAPK1(22)"
rs68590	pheno4	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Cells_Transformed_fibroblasts,Colon_Sigmoid,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Testis,Thyroid,Whole_Blood)"	MAPK1(23)
rs687860	pheno9	"NDST2(Adipose_Subcutaneous,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Nucleus_accumbens_basal_ganglia,Colon_Transverse,Esophagus_Muscularis,Thyroid),MAPK1(Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Amygdala,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Breast_Mammary_Tissue,Esophagus_Mucosa,Heart_Left_Ventricle,Liver,Lung,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Whole_Blood),FAM234A(Cells_Transformed_fibroblasts)"	"NDST2(8),MAPK1(25),FAM234A(1)"
rs697449	pheno7	"MAPK1(Adipose_Visceral_Omentum,Brain_Anterior_cingulate_cortex_BA24,Brain_Cortex,Cells_Transformed_fibroblasts,Muscle_Skeletal,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Thyroid)"	MAPK1(9)
rs719337	pheno6	"NACA(Adipose_Subcutaneous,Artery_Aorta,Cells_Transformed_fibroblasts,Pancreas,Whole_Blood),MAPK1(Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Thyroid,Uterus,Vagina),POP7(Skin_Sun_Exposed_Lower_leg),NACA,OR14C36(Testis)"	"NACA(5),MAPK1(41),POP7(1),NACA,OR14C36(1)"
rs724593	pheno4	"MAPK1(Artery_Tibial,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Esophagus_Mucosa,Esophagus_Muscularis,Liver,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Testis,Vagina)"	MAPK1(10)
rs724661	pheno10	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Uterus,Whole_Blood),SPATS1(Adipose_Visceral_Omentum,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Thyroid)"	"MAPK1(36),SPATS1(4)"
rs728264	pheno7	"MAPK1(Esophagus_Mucosa,Nerve_Tibial)"	MAPK1(2)
rs735406	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Cortex,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Lung,Nerve_Tibial,Ovary,Pituitary,Prostate,Skin_Sun_Exposed_Lower_leg,Spleen,Thyroid,Uterus,Vagina,Whole_Blood),NR4A1(Heart_Left_Ventricle,Skin_Not_Sun_Exposed_Suprapubic)"	"MAPK1(31),NR4A1(2)"
rs738655	pheno3	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Whole_Blood)"	MAPK1(34)
rs738670	pheno6	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Coronary,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Cells_Transformed_fibroblasts,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Thyroid),LGI4(Skin_Sun_Exposed_Lower_leg)"	"MAPK1(14),LGI4(1)"
rs740065	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood),TEX13A(Brain_Anterior_cingulate_cortex_BA24)"	"MAPK1(43),TEX13A(1)"
rs754852	pheno6	"MAPK1(Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Nucleus_accumbens_basal_ganglia,Breast_Mammary_Tissue,Esophagus_Mucosa,Heart_Left_Ventricle,Liver,Muscle_Skeletal,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg)"	MAPK1(10)
rs756370	pheno5	"MAPK1(Adipose_Subcutaneous,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Nucleus_accumbens_basal_ganglia,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Liver,Lung,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Thyroid,Vagina)"	MAPK1(31)
rs761300	pheno6	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Whole_Blood),SRP9(Adrenal_Gland)"	"MAPK1(45),SRP9(1)"
rs761891	pheno3	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus),PODXL(Artery_Tibial),CHD7(Brain_Caudate_basal_ganglia)"	"MAPK1(38),PODXL(1),CHD7(1)"
rs775221	pheno5	"MAPK1(Artery_Aorta,Brain_Anterior_cingulate_cortex_BA24,Brain_Frontal_Cortex_BA9,Cells_EBV-transformed_lymphocytes,Ovary)"	MAPK1(5)
rs805496	pheno1	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Thyroid,Uterus,Vagina,Whole_Blood),CORO2B(Adrenal_Gland),BAIAP2L2(Brain_Cortex,Nerve_Tibial,Testis),S100A8(Esophagus_Muscularis,Stomach)"	"MAPK1(42),CORO2B(1),BAIAP2L2(3),S100A8(2)"
